Mod Name;Author;Description;Versions;Is Latest;Latest Commit;Latest Download
Barbed Knot;Sket;First and probably last time posting, This terrible edit I made using AVERAGE ACE's Knotted equine Mod where I just changed the sprite and the name it works fine and even has the condom sprite it dose not work with the original mod because I did not want to have to change all the names.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/BarbedKnot.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/BarbedKnot.zip
Sheep Species;The Galtor;This mod adds the sheep species. The mod isn't amazing, but it's okay... I think XD Designs by The Galtor Code by Avery Winters.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/TheGaltorSheepSpecies.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/TheGaltorSheepSpecies.zip
Sheathed Human Penis;Winter 'Eira;Helping Ace in their continued effort to remove humanity from the game, I edited the sheathed human penis "It does exactly what you think it do, human penis with a sheath on it" -Average Ace Now replaces the normal human one entirely Original by: Average Ace  Code change by: Me and a ton of help from Avery Winters  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/SheathHumanPenis.png]Click for preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/SheathHumanPenisVer2.zip
Hairs!;Amewsing;Original mod by Sority. Adds hairs to the game. Updated to use the new skin(pattern) system.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/hair.png]Click for preview[/url];6;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Hair1.1.zip
Rabbit Species;Fantos (Code), Max-Maxou (Graphics);Add The Jumping Animal for all the lola and bugs bunny lovers. It has 3 Ears Variant type and 2 Tails variant. Work with skin system, with default patterns, and custom pattern variants for ears, head and tails  Fixed issues with skins/patterns on legs [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/RabbitPreview.png]Click for Preview[/url];5;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Rabbit_Species.zip
Winters Rabbit Penis Patch;Avery Winters;Requirements: Fantos' Rabbit Species A patch for the Rabbit Species to change the default penis for Dynamic Rabbit NPCs to the Barbed & Knotted Equine Penis. Should default to the base equine penis if you dont have the expanded equine penis mod. Created in response to Johnvic's continued efforts to erase humanity.  Probably needs to be loaded after rabbits.;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/WintersRabbitPenisPatch.zip
QuickStart;MOONHALO;Skip the introductory scenes and go straight to the cellblock after character creation.  As a bonus, you're given the option to set your encounter preferences before the first batch of NPC pawns generate. No need to prune unwanted character types from your list after the fact!  Tested on BDCC 0.1.8, down to 0.1.1. Compatibility on other versions is not guaranteed.  FYI: You miss out on 20-50 XP you can earn by fighting Risha in the opening. This mod assumes you chose not to fight her during intake, if you were trying to start the game as quickly as possible, you probably would have done that anyway.;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/QuickStart_v1.03.zip
Goo Bondage;Jaycred;Adds new restraints with custom effects. If you like weird and goopy bondage things, you might like this. These are added to the pool of NPC restraints and The Announcer's shop. Mouth: Goo Mask Torso: Goo Boobs Gooey Corset Gooey Vest Gooey Lingerie Penis: Null Bulge (P) Sentinel Cage Vagina: Null Bulge (V) Sentinel Plug (V) Anus: Sentinel Plug (A)  Non-restraint versions of some of the torso items are also sold in the vendomat.  Goo Boobs and Goo Mask are designed to alter one of the character's body parts on equip and restore it when unequipped, but the on-equip code is only called if you manually "Put On" in the inventory or have it forced on you in sex. Debug commands (i.e. "Force Smart Lock") and the checkpoint guard won't call it. These items will be missing some effects/visuals in those cases, so I've excluded them from the checkpoint guard's available restraints. Could probably fix with an override, but I'm avoiding overrides with this mod.  What's new in version 2.1.0: Added a vaginal variant of Sentinel Plug and renamed the original to differentiate the two Updated Sentinel Plugs, Null Bulges, and Goo Boobs to give sensitivity-related (de)buffs Added the Sentinel Cage, a faux-chastity cage/bulge that encases the penis and leaves it accessible but empty.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/GooBondage.png]Click for preview[/url];4;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/GooBondage.zip
Winters Pokemon Collection;Avery Winters;A grouped mod for the various pokemon eeveelutions in a single file updated to handle being coloured and skins. Included: Eevee, Espeon, Flareon, Glaceon, Jolteon, Leafeon, Sylveon, Umbreon, Vaporeon Credit: Original Mods by Eurygrey Changelog: Finished Sylveon and reached 1.0 release and marked mod as no longer WIP.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/WintersPokemonCollection.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/WintersPokemonCollectionV1.0.zip
Rigging God;mks;Adds tier 4 BDSM skill that further enhances rigging skills. [b]WARNING[/b]: THIS MOD REQUIRES FOXLIB  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/RiggingGodMod.png]Click for preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/RiggingGodMod.zip
